Name,Year,Rating,Tags,Watched Date
Guardians of the Galaxy,2014,4.5,with ishika,10-05-2023
The Meg,2018,2,"with rachel, with nidhi",06-05-2023
How to Train Your Dragon: The Hidden World,2019,4,,04-05-2023
How to Train Your Dragon: Homecoming,2019,3.5,,04-05-2023
High School Musical,2006,,"with parnika, with haritha",04-05-2023
Zindagi Na Milegi Dobara,2011,5,"with rachel, with neha",03-05-2023
The Hunger Games: Mockingjay – Part 1,2014,3,with lovers,03-05-2023
Silver Linings Playbook,2012,3.5,,02-05-2023
Spider-Man: No Way Home,2021,4,with bhai,30-04-2023
The Hunger Games: Catching Fire,2013,4,with lovers,28-04-2023
The Others,2001,4,,26-04-2023
Hotel Chevalier,2007,3.5,with ishika,22-04-2023
Lemonade Mouth,2011,4,with parnika,21-04-2023
The Darjeeling Limited,2007,3.5,with ishika,21-04-2023
The Hunger Games,2012,4,with lovers,20-04-2023
Black Swan,2010,4.5,,12-04-2023
Perfect Blue,1997,4.5,,11-04-2023
The Suicide Squad,2021,4,,10-04-2023
Frances Ha,2012,4.5,,09-04-2023
Scooby-Doo,2002,3,,02-04-2023
Cruel Intentions,1999,2.5,,01-04-2023
It Follows,2014,3.5,"with haritha, with neha",01-04-2023
Aladdin,2019,4,with ishika,26-03-2023
Agent Vinod,2012,2.5,"with ishika, with yasha",25-03-2023
Everything Everywhere All at Once,2022,5,with ishika,25-03-2023
Tangled,2010,4.5,,20-03-2023
Everything Everywhere All at Once,2022,5,"with mom, @theatre",19-03-2023
The Babadook,2014,4,"with nidhi, with ishika, with haritha",07-03-2023
Sleeping Beauty,1959,4.5,,07-03-2023
Barbie Mariposa,2008,3.5,"with ishika, with yasha",05-03-2023
Annabelle: Creation,2017,3.5,"with haritha, with neha",05-03-2023
Hush,2016,3.5,"with neha, with haritha, with rachel",02-03-2023
The Princess Bride,1987,4,,25-02-2023
Barbie and the Three Musketeers,2009,4,with ishika,22-02-2023
The Unbearable Weight of Massive Talent,2022,3.5,with rachel,22-02-2023
Soul,2020,4,,20-02-2023
Ant-Man,2015,4,with ishika,19-02-2023
Ant-Man and the Wasp,2018,4,with ishika,19-02-2023
Ant-Man and the Wasp: Quantumania,2023,3,"with ishika, @theatre, with anmol",19-02-2023
Carrie,1976,4,,18-02-2023
Barbie in A Mermaid Tale,2010,3.5,with ishika,17-02-2023
What If,2013,3.5,,17-02-2023
Beauty and the Beast,2017,2.5,,16-02-2023
Lilo & Stitch,2002,4.5,with lovers,13-02-2023
Barbie and the Diamond Castle,2008,4,"with yasha, with ishika",12-02-2023
Barbie: A Fashion Fairytale,2010,4,"with ishika, with yasha",12-02-2023
The Autopsy of Jane Doe,2016,3.5,"with ishika, with yasha, with rachel",11-02-2023
War,2019,3.5,"with parnika, with rachel, with neha",06-02-2023
Pathaan,2023,3,"with lovers, @theatre",05-02-2023
Big Hero 6,2014,4,with ishika,03-02-2023
Midnight in Paris,2011,3,,03-02-2023
The Favourite,2018,4.5,,01-02-2023
Warm Bodies,2013,3.5,"with ishika, with yasha",31-01-2023
Mad Max: Fury Road,2015,5,,31-01-2023
The Menu,2022,3.5,with technical club,30-01-2023
Mad Max: Fury Road,2015,5,with ishika,30-01-2023
Ready or Not,2019,3.5,with lovers,29-01-2023
Mad Max: Fury Road,2015,4.5,,29-01-2023
Mr. & Mrs. Smith,2005,3.5,with yasha,25-01-2023
Lady Bird,2017,5,,08-01-2023
Barbie: Princess Charm School,2011,4,"with ishika, with yasha",07-01-2023
The Conjuring 2,2016,4,with yasha,07-01-2023
English Vinglish,2012,4,with lovers,05-01-2023
Drunken Master II,1994,4,with bhai,01-01-2023
Inside Out,2015,4,with bhai,30-12-2022
Drunken Master,1978,4,with bhai,30-12-2022
